1.14.13.93	(+)-abscisic acid 8'-hydroxylase
1.1.1.198	(+)-borneol dehydrogenase
4.2.3.13	(+)-delta-cadinene synthase
1.14.13.104	(+)-menthofuran synthase
1.1.1.208	(+)-neomenthol dehydrogenase
1.3.1.81	(+)-pulegone reductase
1.1.1.228	(+)-sabinol dehydrogenase
1.1.1.275	(+)-trans-carveol dehydrogenase
1.1.1.227	(-)-borneol dehydrogenase
4.2.3.10	(-)-endo-fenchol synthase
1.3.1.82	(-)-isopiperitenone reductase
1.1.1.207	(-)-menthol dehydrogenase
1.14.13.46	(-)-menthol monooxygenase
5.4.99.15	(1->4)-alpha-D-Glucan 1-alpha-D-glucosylmutase
4.1.3.35	(1-hydroxycyclohexan-1-yl)acetyl-CoA lyase
2.7.7.58	(2,3-dihydroxybenzoyl)adenylate synthase
1.3.1.53	(3S,4R)-3,4-dihydroxycyclohexa-1,5-diene-1,4-dicarboxylatedehydrogenase
4.2.3.16	(4S)-limonene synthase
4.1.99.B2 (preliminary BRENDA-supplied EC number)	(6-4)DNA photolyase
1.17.7.1	(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase
2.4.1.92	(N-acetylneuraminyl)-galactosylglucosylceramideN-acetylgalactosaminyltransferase
4.2.1.35	(R)-2-Methylmalate dehydratase
3.8.1.9	(R)-2-haloacid dehalogenase
1.1.1.98	(R)-2-hydroxy-fatty-acid dehydrogenase
1.1.1.272	(R)-2-hydroxyacid dehydrogenase
2.6.1.40	(R)-3-amino-2-methylpropionate-pyruvate transaminase
1.1.1.279	(R)-3-hydroxyacid-ester dehydrogenase
1.1.1.222	(R)-4-hydroxyphenyllactate dehydrogenase
1.5.3.6	(R)-6-hydroxynicotine oxidase
1.1.99.27	(R)-Pantolactone dehydrogenase (flavin)
1.1.1.75	(R)-aminopropanol dehydrogenase
1.3.99.21	(R)-benzylsuccinyl-CoA dehydrogenase
2.3.1.182	(R)-citramalate synthase
1.2.1.33	(R)-dehydropantoate dehydrogenase
1.14.13.80	(R)-limonene 6-monooxygenase
4.2.3.20	(R)-limonene synthase
1.1.1.B4 (preliminary BRENDA-supplied EC number)	(R)-specific secondary alcohol dehydrogenase
1.1.1.4	(R,R)-butanediol dehydrogenase
2.1.1.115	(RS)-1-benzyl-1,2,3,4-tetrahydroisoquinoline N-methyltransferase
2.1.1.128	(RS)-norcoclaurine 6-O-methyltransferase
4.2.1.34	(S)-2-Methylmalate dehydratase
3.8.1.2	(S)-2-haloacid dehalogenase
1.1.3.15	(S)-2-hydroxy-acid oxidase
1.1.1.99	(S)-2-hydroxy-fatty-acid dehydrogenase
2.6.1.22	(S)-3-amino-2-methylpropionate transaminase
1.1.1.280	(S)-3-hydroxyacid-ester dehydrogenase
1.5.3.5	(S)-6-hydroxynicotine oxidase
3.5.1.85	(S)-N-acetyl-1-phenylethylamine hydrolase
1.14.21.5	(S)-canadine synthase
1.1.1.254	(S)-carnitine 3-dehydrogenase
1.14.21.2	(S)-cheilanthifoline synthase
2.1.1.140	(S)-coclaurine-N-methyltransferase
1.14.13.47	(S)-limonene 3-monooxygenase
1.14.13.48	(S)-limonene 6-monooxygenase
1.14.13.49	(S)-limonene 7-monooxygenase
1.1.99.31	(S)-mandelate dehydrogenase
3.1.2.17	(S)-methylmalonyl-CoA hydrolase
4.2.1.78	(S)-norcoclaurine synthase
2.1.1.117	(S)-scoulerine 9-O-methyltransferase
1.1.1.B3 (preliminary BRENDA-supplied EC number)	(S)-specific secondary alcohol dehydrogenase
1.14.21.1	(S)-stylopine synthase
2.1.1.122	(S)-tetrahydroprotoberberine N-methyltransferase
1.1.1.199	(S)-usnate reductase
1.1.1.76	(S,S)-butanediol dehydrogenase
4.2.3.40	(Z)-gamma-bisabolene synthase
6.3.3.4	(carboxyethyl)arginine beta-lactam-synthase
2.7.4.11	(deoxy)adenylate kinase
2.7.4.13	(deoxy)nucleoside-phosphate kinase
5.4.4.1	(hydroxyamino)benzene mutase
2.1.1.146	(iso)eugenol O-methyltransferase
1.5.1.27	1,2-Dehydroreticulinium reductase (NADPH)
3.2.1.63	1,2-alpha-L-fucosidase
2.4.1.157	1,2-diacylglycerol 3-glucosyltransferase
1.3.1.73	1,2-dihydrovomilenine reductase
1.3.1.68	1,2-dihydroxy-6-methylcyclohexa-3,5-dienecarboxylate dehydrogenase
3.2.1.111	1,3-alpha-L-fucosidase
2.4.1.97	1,3-beta-D-glucan phosphorylase
2.4.1.211	1,3-beta-galactosyl-N-acetylhexosamine phosphorylase
2.4.1.34	1,3-beta-glucan synthase
2.4.1.30	1,3-beta-oligoglucan phosphorylase
1.1.1.202	1,3-propanediol dehydrogenase
2.4.1.24	1,4-alpha-glucan 6-alpha-glucosyltransferase
2.4.1.18	1,4-alpha-glucan branching enzyme
2.4.2.24	1,4-beta-D-xylan synthase
3.1.1.25	1,4-lactonase
4.2.1.111	1,5-anhydro-D-fructose dehydratase
1.1.1.263	1,5-anhydro-D-fructose reductase
1.1.1.292	1,5-anhydro-D-fructose reductase (1,5-anhydro-D-mannitol-forming)
3.2.1.163	1,6-alpha-D-mannosidase
3.2.1.127	1,6-alpha-L-fucosidase
1.3.1.25	1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate dehydrogenase
5.3.1.16	1-(5-phosphoribosyl)-5-[(5phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase
2.3.1.51	1-acylglycerol-3-phosphate O-acyltransferase
2.3.1.23	1-acylglycerophosphocholine O-acyltransferase
2.7.8.22	1-alkenyl-2-acylglycerol choline phosphotransferase
2.3.1.104	1-alkenylglycerophosphocholine O-acyltransferase
2.3.1.121	1-alkenylglycerophosphoethanolamine O-acyltransferase
2.3.1.125	1-alkyl-2-acetylglycerol O-acyltransferase
3.1.1.47	1-alkyl-2-acetylglycerophosphocholine esterase
2.3.1.67	1-alkylglycerophosphocholine O-acetyltransferase
2.3.1.63	1-alkylglycerophosphocholine O-acyltransferase
3.5.99.7	1-aminocyclopropane-1-carboxylate deaminase
4.4.1.14	1-aminocyclopropane-1-carboxylate synthase
1.1.1.267	1-deoxy-D-xylulose-5-phosphate reductoisomerase
2.2.1.7	1-deoxy-D-xylulose-5-phosphate synthase
1.13.11.38	1-hydroxy-2-naphthoate 1,2-dioxygenase
3.2.2.13	1-methyladenosine nucleosidase
2.7.1.67	1-phosphatidylinositol 4-kinase
2.7.1.150	1-phosphatidylinositol-3-phosphate 5-kinase
2.7.1.68	1-phosphatidylinositol-4-phosphate 5-kinase
2.7.1.149	1-phosphatidylinositol-5-phosphate 4-kinase
2.7.1.56	1-phosphofructokinase
3.5.4.22	1-pyrroline-4-hydroxy-2-carboxylate deaminase
1.5.1.12	1-pyrroline-5-carboxylate dehydrogenase
2.3.1.167	10-deacetylbaccatin III 10-O-acetyltransferase
2.1.1.119	10-hydroxydihydrosanguinarine 10-O-methyltransferase
