1.1.1.198	(+)-borneol:NAD+ oxidoreductase
5.5.1.8	(+)-bornyl-diphosphate lyase (decyclizing)
1.14.15.1	(+)-camphor,reduced putidaredoxin:oxygen oxidoreductase(5-hydroxylating)
1.14.15.2	(+)-camphor,reduced-rubredoxin:oxygen oxidoreductase (1,2-lactonizing)
1.3.1.49	(+)-cis-3,4-Dihydrophenanthrene-3,4-diol:NAD+ 3,4-oxidoreductase
1.3.1.82	(+)-cis-isopulegone:NADP+ oxidoreductase
1.1.1.228	(+)-cis-sabinol:NAD+ oxidoreductase
4.2.3.18	(+)-copalyl-diphosphate diphosphate-lyase [cyclizing;(-)-abietadiene-forming]
5.5.1.12	(+)-copalyl-diphosphate lyase (decyclizing)
1.3.99.25	(+)-dihydrocarvone:acceptor 1,6-oxidoreductase
1.14.13.106	(+)-epi-isozizaene,NADPH:oxygen oxidoreductase (5-hydroxylating)
1.14.13.102	(+)-marmesin,NADPH:oxygen oxidoreductase
1.1.1.208	(+)-neomenthol:NADP+ oxidoreductase
1.14.13.104	(+)-pulegone,NADPH:oxygen oxidoreductase (9-hydroxylating)
1.1.1.275	(+)-trans-carveol:NAD+ oxidoreductase
1.1.1.160	(+/-)-5-[(tert-butylamino)-2'-hydroxypropoxy]-1,2,34-tetrahydro-1-naphthol:NADP+ oxidoreductase
1.10.1.1	(+/-)-trans-acenaphthene-1,2-diol:NADP+ oxidoreductase
1.1.1.227	(-)-borneol:NAD+ oxidoreductase
1.14.13.B1 (preliminary BRENDA-supplied EC number)	(-)-camphor,reduced-rubredoxin:oxygen oxidoreductase (1,6-lactonizing)
1.5.1.18	(-)-ephedrine:NAD+ 2-oxidoreductase
1.14.13.46	(-)-menthol,NADPH:oxygen oxidoreductase (8-hydroxylating)
1.1.1.207	(-)-menthol:NADP+ oxidoreductase
1.14.13.105	(-)-menthone,NADPH:oxygen oxidoreductase
1.3.1.81	(-)-menthone:NADP+ oxidoreductase
1.1.1.243	(-)-trans-carveol:NADP+ oxidoreductase
1.1.1.223	(-)-trans-isopiperitenol:NAD+ oxidoreductase
3.2.1.77	(1->2)-(1->3)-alpha-D-mannan mannohydrolase
3.2.1.137	(1->2)-(1->6)-alpha-D-mannan D-mannohydrolase
3.2.1.115	(1->2)-alpha-D-glucosyl-branched-dextran 2-glucohydrolase
3.2.1.61	(1->3)-(1->4)-alpha-D-glucan 4-glucanohydrolase
3.2.1.73	(1->3)-(1->4)-beta-D-glucan 4-glucanohydrolase
3.2.1.114	(1->3)-(1->6)-mannosyl-oligosaccharide alpha-D-mannohydrolase
2.4.1.97	(1->3)-beta-D-glucan:phosphate alpha-D-glucosyltransferase
3.2.1.14	(1->4)-2-acetamido-2-deoxy-beta-D-glucan glycanohydrolase
4.2.2.10	(1->4)-6-O-methyl-alpha-D-galacturonan lyase
3.2.1.15	(1->4)-alpha-D-galacturonan glycanohydrolase
4.2.2.2	(1->4)-alpha-D-galacturonan lyase
4.2.2.9	(1->4)-alpha-D-galacturonan reducing-end-disaccharide-lyase
4.2.2.22 ()	(1->4)-alpha-D-galacturonan reducing-end-trisaccharide-lyase
5.4.99.15	(1->4)-alpha-D-glucan 1-alpha-D-glucosylmutase
4.2.2.13	(1->4)-alpha-D-glucan exo-4-lyase (1,5-anhydro-D-fructose-forming)
2.4.1.24	(1->4)-alpha-D-glucan:(1->4)-alpha-D-glucan(D-glucose)6-alpha-D-glucosyltransferase
2.4.1.19	(1->4)-alpha-D-glucan:(1->4)-alpha-D-glucan4-alpha-D-[(1->4)-alpha-D-glucano]-transferase (cyclizing)
2.4.1.161	(1->4)-alpha-D-glucan:(1->4)-alpha-D-glucan4-alpha-D-glucosyltransferase
2.4.1.25	(1->4)-alpha-D-glucan:(1->4)-alpha-D-glucan4-alpha-D-glycosyltransferase
2.4.1.18	(1->4)-alpha-D-glucan:(1->4)-alpha-D-glucan6-alpha-D-[(1->4)-alpha-D-glucano]-transferase
2.4.1.2	(1->4)-alpha-D-glucan:(1->6)-alpha-D-glucan6-alpha-D-glucosyltransferase
2.4.1.1	(1->4)-alpha-D-glucan:phosphate alpha-D-glucosyltransferase
2.4.1.49	(1->4)-beta-D-glucan:phosphate alpha-D-glucosyltransferase
4.2.2.14	(1->4)-beta-D-glucuronan lyase
3.2.1.163	(1->6)-alpha-mannosyl alpha-D-mannohydrolase
4.1.3.35	(1-hydroxycyclohexan-1-yl)acetyl-CoA cyclohexanone-lyase(acetyl-CoA-forming)
1.1.1.197	(13E)-(15S)-11alpha,15-dihydroxy-9-oxoprost-13-enoate:NADP+15-oxidoreductase
5.3.3.9	(13E)-(15S)-15-hydroxy-9-oxoprosta-10,13-dienoateDELTA10-DELTA11-isomerase
1.1.1.232	(15S)-15-hydroxy-5,8,11-cis-13-trans-icosatetraenoate:NAD(P)+15-oxidoreductase
4.2.1.36	(1R,2S)-1-hydroxybutane-1,2,4-tricarboxylate hydro-lyase[(Z)-but-1-ene-1,2,4-tricarboxylate-forming]
1.1.1.87	(1R,2S)-1-hydroxybutane-1,2,4-tricarboxylate:NAD+ oxidoreductase(decarboxylating)
5.1.2.6	(1R,2S)-1-hydroxypropane-1,2,3-tricarboxylate 1-epimerase
4.2.1.113 ()	(1R,6R)-6-hydroxy-2-succinylcyclohexa-2,4-diene-1-carboxylatehydrolyase (2-succinylbenzoate-forming)
1.3.1.25	(1R,6S)-1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate:NAD+oxidoreductase (decarboxylating)
4.1.2.8 (reinstated 2006, had been eliminated in 1972)	(1S,2R)-1-C-(indol-3-yl)glycerol-3-phosphateD-glyceraldehyde-3-phosphate-lyase (indole-forming)
1.1.1.166	(1S,3R,4S)-3,4-dihydroxycyclohexane-1-carboxylate:NAD+ 3-oxidoreductase
4.2.2.17	(2->1)-beta-D-fructan lyase(alpha-D-fructofuranose-beta-D-fructofuranose-1,2':21'-dianhydride-forming)
4.2.2.18	(2->1)-beta-D-fructan lyase(alpha-D-fructofuranose-beta-D-fructofuranose-1,2':23'-dianhydride-forming)
2.4.1.100	(2->1)-beta-D-fructan:(2->1)-beta-D-fructan1-beta-D-fructosyltransferase
3.2.1.65	(2->6)-beta-D-fructan fructanohydrolase
3.2.1.154	(2->6)-beta-D-fructan fructohydrolase
4.2.2.16	(2->6)-beta-D-fructan lyase(di-beta-D-fructofuranose-2,6':2',6-dianhydride-forming)
3.2.1.64	(2->6)-beta-D-fructofuranan 6-(beta-D-fructosyl)-D-fructose-hydrolase
2.5.1.15	(2-amino-4-hydroxy-78-dihydropteridin-6-yl)methyl-diphosphate:4-aminobenzoate2-amino-4-hydroxydihydropteridine-6-methenyltransferase
2.6.1.37	(2-aminoethyl)phosphonate:pyruvate aminotransferase
1.14.13.99	(24R)-cholest-5-ene-3beta,24-diol,NADPH:oxygen oxidoreductase(7alpha-hydroxylating)
4.1.2.33	(24R,24'R)-fucosterol-epoxide acetaldehyde-lyase (desmosterol-forming)
4.2.1.107	(24R,25R)-3alpha,7alpha,12alpha,24-tetrahydroxy-5beta-cholestanoyl-CoAhydro-lyase[(24E)-3alpha,7alpha12alpha-trihydroxy-5beta-cholest-24-enoyl-CoA-forming]
1.2.1.40	(25R)-3alpha,7alpha,12alpha-trihydroxy-5beta-cholestan-26-al:NAD+26-oxidoreductase
6.2.1.28	(25R)-3alpha,7alpha-dihydroxy-5beta-cholestan-26-oate:CoA ligase(AMP-forming)
1.17.99.3	(25R)-3alpha,7alpha12alpha-trihydroxy-5beta-cholestan-26-oyl-CoA:acceptor24-oxidoreductase (24R-hydroxylating)
1.1.1.161	(25R)-5beta-cholestane-3alpha,7alpha,12alpha,26-tetraol:NAD+26-oxidoreductase
4.2.3.39	(2E,6E)-farnesyl-diphosphate diphosphate-lyase (8-epi-cedrol-forming)
4.2.3.37	(2E,6E)-farnesyl-diphosphate diphosphate-lyase[(+)-epi-isozizaene-forming]
4.2.3.38	(2E,6E)-farnesyl-diphosphate diphosphate-lyase[(E)-alpha-bisabolene-forming]
4.2.3.40	(2E,6E)-farnesyl-diphosphate diphosphate-lyase[(Z)-gamma-bisabolene-forming]
4.4.1.19	(2R)-2-O-phospho-3-sulfolactate hydrogen-sulfite-lyase(phosphoenolpyruvate-forming)
5.4.99.B5 (preliminary BRENDA-supplied EC number)	(2R)-ethylmalonyl-CoA CoA-carbonylmutase
1.1.99.30	(2R)-hydroxy-carboxylate:acceptor oxidoreductase
4.2.1.85	(2R,3S)-2,3-dimethylmalate hydro-lyase (dimethylmaleate-forming)
4.1.3.32	(2R,3S)-2,3-dimethylmalate pyruvate-lyase (propanoate-forming)
4.2.1.33	(2R,3S)-3-isopropylmalate hydro-lyase (2-isopropylmaleate-forming)
1.1.1.85	(2R,3S)-3-isopropylmalate:NAD+ oxidoreductase
1.17.1.3	(2R,3S)-catechin:NADP+ 4-oxidoreductase
2.6.1.86	(2S)-2-amino-4-deoxychorismate:2-oxoglutarate aminotransferase
1.3.99.24	(2S)-2-amino-4-deoxychorismate:FMN oxidoreductase
4.1.1.5	(2S)-2-hydroxy-2-methyl-3-oxobutanoate carboxy-lyase[(3R)-3-hydroxybutan-2-one-forming]
4.1.3.22	(2S)-2-hydroxy-2-methylbutanedioate pyruvate-lyase (acetate-forming)
1.5.1.28	(2S)-2-{[1-(R)-carboxyethyl]amino}pentanoate:NAD+ oxidoreductase(L-aminopentanoate-forming)
5.4.3.7	(2S)-alpha-leucine 2,3-aminomutase
1.1.1.234	(2S)-flavan-4-ol:NADP+ 4-oxidoreductase
4.2.1.99	(2S,3R)-3-hydroxybutane-1,2,3-tricarboxylate hydro-lyase[(Z)-but-2-ene-1,2,3-tricarboxylate-forming]
4.1.3.30	(2S,3R)-3-hydroxybutane-1,2,3-tricarboxylate pyruvate-lyase(succinate-forming)
1.3.1.28	(2S,3S)-2,3-dihydro-2,3-dihydroxybenzoate:NAD+ oxidoreductase
4.2.1.79	(2S,3S)-2-hydroxybutane-1,2,3-tricarboxylate hydro-lyase[(Z)-but-2-ene-1,2,3-tricarboxylate-forming]
1.1.1.178	(2S,3S)-3-hydroxy-2-methylbutanoyl-CoA:NAD+ oxidoreductase
4.2.1.B3 (preliminary BRENDA-supplied EC number)	(3R)-3-hydroxyacyl-CoA hydro-lyase
1.1.1.212	(3R)-3-hydroxyacyl-[acyl-carrier protein]:NAD+ oxidoreductase
1.1.1.100	(3R)-3-hydroxyacyl-[acyl-carrier protein]:NADP+ oxidoreductase
4.2.1.55	(3R)-3-hydroxybutanoyl-CoA hydro-lyase (crotonoyl-CoA-forming)
4.2.1.58	(3R)-3-hydroxybutanoyl-[acyl-carrier protein] hydro-lyase(but-2-enoyl-[acyl-carrier protein]-forming)
4.2.1.60	(3R)-3-hydroxydecanoyl-[acyl-carrier protein] hydro-lyase
4.2.1.59	(3R)-3-hydroxyoctanoyl-[acyl-carrier protein] hydro-lyase(oct-2-enoyl-[acyl-carrier protein]-forming)
4.2.1.61	(3R)-3-hydroxypalmitoyl-[acyl-carrier protein] hydro-lyase(hexadec-2-enoyl-[acyl-carrier protein]-forming)
5.4.3.3	(3S)-3,6-diaminohexanoate 5,6-aminomutase
4.1.3.24	(3S)-3-carboxy-3-hydroxypropanoyl-CoA glyoxylate-lyase(acetyl-CoA-forming)
4.2.1.17	(3S)-3-hydroxyacyl-CoA hydro-lyase
4.1.1.72	(3S)-3-methyl-2-oxopentanoate carboxy-lyase (2-methylbutanal-forming)
4.1.3.25	(3S)-citramalyl-CoA pyruvate-lyase (acetyl-CoA-forming)
