(+)-abscisic acid 8'-hydroxylase	1.14.13.93
(+)-borneol dehydrogenase	1.1.1.198
(+)-delta-cadinene synthase	4.2.3.13
(+)-menthofuran synthase	1.14.13.104
(+)-neomenthol dehydrogenase	1.1.1.208
(+)-pulegone reductase	1.3.1.81
(+)-sabinol dehydrogenase	1.1.1.228
(+)-trans-carveol dehydrogenase	1.1.1.275
(-)-borneol dehydrogenase	1.1.1.227
(-)-endo-fenchol synthase	4.2.3.10
(-)-isopiperitenone reductase	1.3.1.82
(-)-menthol dehydrogenase	1.1.1.207
(-)-menthol monooxygenase	1.14.13.46
(1->4)-alpha-D-Glucan 1-alpha-D-glucosylmutase	5.4.99.15
(1-hydroxycyclohexan-1-yl)acetyl-CoA lyase	4.1.3.35
(2,3-dihydroxybenzoyl)adenylate synthase	2.7.7.58
(3S,4R)-3,4-dihydroxycyclohexa-1,5-diene-1,4-dicarboxylatedehydrogenase	1.3.1.53
(4S)-limonene synthase	4.2.3.16
(6-4)DNA photolyase	4.1.99.B2 (preliminary BRENDA-supplied EC number)
(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase	1.17.7.1
(N-acetylneuraminyl)-galactosylglucosylceramideN-acetylgalactosaminyltransferase	2.4.1.92
(R)-2-Methylmalate dehydratase	4.2.1.35
(R)-2-haloacid dehalogenase	3.8.1.9
(R)-2-hydroxy-fatty-acid dehydrogenase	1.1.1.98
(R)-2-hydroxyacid dehydrogenase	1.1.1.272
(R)-3-amino-2-methylpropionate-pyruvate transaminase	2.6.1.40
(R)-3-hydroxyacid-ester dehydrogenase	1.1.1.279
(R)-4-hydroxyphenyllactate dehydrogenase	1.1.1.222
(R)-6-hydroxynicotine oxidase	1.5.3.6
(R)-Pantolactone dehydrogenase (flavin)	1.1.99.27
(R)-aminopropanol dehydrogenase	1.1.1.75
(R)-benzylsuccinyl-CoA dehydrogenase	1.3.99.21
(R)-citramalate synthase	2.3.1.182
(R)-dehydropantoate dehydrogenase	1.2.1.33
(R)-limonene 6-monooxygenase	1.14.13.80
(R)-limonene synthase	4.2.3.20
(R)-specific secondary alcohol dehydrogenase	1.1.1.B4 (preliminary BRENDA-supplied EC number)
(R,R)-butanediol dehydrogenase	1.1.1.4
(RS)-1-benzyl-1,2,3,4-tetrahydroisoquinoline N-methyltransferase	2.1.1.115
(RS)-norcoclaurine 6-O-methyltransferase	2.1.1.128
(S)-2-Methylmalate dehydratase	4.2.1.34
(S)-2-haloacid dehalogenase	3.8.1.2
(S)-2-hydroxy-acid oxidase	1.1.3.15
(S)-2-hydroxy-fatty-acid dehydrogenase	1.1.1.99
(S)-3-amino-2-methylpropionate transaminase	2.6.1.22
(S)-3-hydroxyacid-ester dehydrogenase	1.1.1.280
(S)-6-hydroxynicotine oxidase	1.5.3.5
(S)-N-acetyl-1-phenylethylamine hydrolase	3.5.1.85
(S)-canadine synthase	1.14.21.5
(S)-carnitine 3-dehydrogenase	1.1.1.254
(S)-cheilanthifoline synthase	1.14.21.2
(S)-coclaurine-N-methyltransferase	2.1.1.140
(S)-limonene 3-monooxygenase	1.14.13.47
(S)-limonene 6-monooxygenase	1.14.13.48
(S)-limonene 7-monooxygenase	1.14.13.49
(S)-mandelate dehydrogenase	1.1.99.31
(S)-methylmalonyl-CoA hydrolase	3.1.2.17
(S)-norcoclaurine synthase	4.2.1.78
(S)-scoulerine 9-O-methyltransferase	2.1.1.117
(S)-specific secondary alcohol dehydrogenase	1.1.1.B3 (preliminary BRENDA-supplied EC number)
(S)-stylopine synthase	1.14.21.1
(S)-tetrahydroprotoberberine N-methyltransferase	2.1.1.122
(S)-usnate reductase	1.1.1.199
(S,S)-butanediol dehydrogenase	1.1.1.76
(Z)-gamma-bisabolene synthase	4.2.3.40
(carboxyethyl)arginine beta-lactam-synthase	6.3.3.4
(deoxy)adenylate kinase	2.7.4.11
(deoxy)nucleoside-phosphate kinase	2.7.4.13
(hydroxyamino)benzene mutase	5.4.4.1
(iso)eugenol O-methyltransferase	2.1.1.146
1,2-Dehydroreticulinium reductase (NADPH)	1.5.1.27
1,2-alpha-L-fucosidase	3.2.1.63
1,2-diacylglycerol 3-glucosyltransferase	2.4.1.157
1,2-dihydrovomilenine reductase	1.3.1.73
1,2-dihydroxy-6-methylcyclohexa-3,5-dienecarboxylate dehydrogenase	1.3.1.68
1,3-alpha-L-fucosidase	3.2.1.111
1,3-beta-D-glucan phosphorylase	2.4.1.97
1,3-beta-galactosyl-N-acetylhexosamine phosphorylase	2.4.1.211
1,3-beta-glucan synthase	2.4.1.34
1,3-beta-oligoglucan phosphorylase	2.4.1.30
1,3-propanediol dehydrogenase	1.1.1.202
1,4-alpha-glucan 6-alpha-glucosyltransferase	2.4.1.24
