100 kDa ileum brush border membrane protei	3.4.17.21
100 kDa protei	6.3.2.-
100 kDa U5 snRNP-specific protei	3.6.4.13
104 kDa diacylglycerol kinas	2.7.1.107
108 kDa translation machinery-associated protei	3.4.11.-
10-deacetylbaccatin III 10-O-acetyltransferas	2.3.1.167
10-formyletrahydrofolate synthetas	6.3.4.3
10-formyltetrahydrofolate dehydrogenas	1.5.1.6
10-FTHFD	1.5.1.6
	1.11.1.15
111 kDa nuclear mediator of apoptosi	3.4.21.-
111 kDa protei	2.7.7.48
11-beta-HSD	1.1.1.-
11beta-HSD1	1.1.1.146
11-beta-HSD	1.1.1.146
11-beta-HSD3-	1.1.1.-
11-beta-hydroxysteroid dehydrogenase	1.1.1.146
11-beta-hydroxysteroid dehydrogenase type	1.1.1.-
11-beta-hydroxysteroid dehydrogenase type 3-	1.1.1.-
11-cis RD	1.1.1.105
11-cis retinol dehydrogenas	1.1.1.105
11-D	1.1.1.146
11-DH	1.1.1.-
11-DH3-	1.1.1.-
12:0-ACP thioesteras	3.1.2.-
12:0-acyl-carrier protein thioesteras	3.1.2.-
120 kDa chloroplast outer envelope protei	3.6.5.-
120 kDa collagenas	3.4.24.3
1,	2.4.1.-
1,25-dihydroxyvitamin D(3) 24-hydroxylase, mitochondria	1.14.13.n4
125 kDa protei	2.7.7.48
12.6 kDa FK506-binding protei	5.2.1.8
12.6 kDa FKB	5.2.1.8
126 kDa protei	2.7.7.48
129 kDa protei	2.7.7.48
12-alpha-hydroxysteroid dehydrogenas	1.1.1.176
1,2-CT	1.13.11.1
1,2-CTD	1.13.11.1
1,2-dihydroxy-1,2-dihydronaphthalene dehydrogenas	1.3.1.29
1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenas	1.13.-.-
1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenas	1.13.11.53
1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase	1.13.-.-
1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase	1.13.11.53
1,2-dihydroxynaphthalene dioxygenas	1.13.11.-
12-H	1.3.1.-
1,2-HQ	1.13.11.37
12 kDa FK506-binding protei	5.2.1.8
12 kDa FKB	5.2.1.8
12-LO	1.13.11.31
12-oxophytodienoate-10,11-reductase	1.3.1.42
12-oxophytodienoate reductase	1.3.1.42
12-oxophytodienoate reductase-like protei	1.3.1.-
1,2 rhamnosyltransferas	2.4.1.236
12R-lipoxygenas	1.13.11.-
12R-LO	1.13.11.-
12S-lipoxygenas	1.13.11.31
12S-LO	1.13.11.31
130 kDa diacylglycerol kinas	2.7.1.107
1,3-1,4-beta-D-glucan 4-glucanohydrolas	3.2.1.73
1,3-1,4-beta-D-glucan 4-glucanohydrolas	3.2.1.8
1,3/1,4-beta D-glucan synthase	2.4.1.-
(1->3,1->4)-beta-glucanase isoenzyme EI	3.2.1.73
	1.3.1.n1
132 kDa chloroplast outer envelope protei	3.6.5.-
1,3,4,6-tetrachloro-1,4-cyclohexadiene hydrolas	3.8.1.5
1	3.6.4.-
136 kDa double-stranded RNA-binding protei	3.5.4.-
1,3-beta-D-glucanohydrolas	3.2.1.58
1,3-beta-D-glucan-UDP glucosyltransferas	2.4.1.34
(1->3)-beta-glucanas	3.2.1.39
(1->3)-beta-glucanase 1	3.2.1.39
(1->3)-beta-glucanase	3.2.1.39
(1->3)-beta-glucanase A	3.2.1.39
(1->3)-beta-glucanase BGN13.	3.2.1.39
(1->3)-beta-glucanase isoenzyme G	3.2.1.39
(1->3)-beta-glucanase isoenzyme GI	3.2.1.39
(1->3)-beta-glucanase isoenzyme GII	3.2.1.39
(1->3)-beta-glucanase isoenzyme GV	3.2.1.39
(1->3)-beta-glucan endohydrolas	3.2.1.39
(1->3)-beta-glucan endohydrolase 1	3.2.1.39
(1->3)-beta-glucan endohydrolase	3.2.1.39
(1->3)-beta-glucan endohydrolase BGN13.	3.2.1.39
(1->3)-beta-glucan endohydrolase G	3.2.1.39
(1->3)-beta-glucan endohydrolase GI	3.2.1.39
(1->3)-beta-glucan endohydrolase GII	3.2.1.39
(1->3)-beta-glucan endohydrolase GV	3.2.1.39
1,3-beta-glucanosyltransferase gas	2.4.1.-
1,3-beta-glucanosyltransferase GAS	2.4.1.-
1,3-beta-glucanosyltransferase gel	2.4.1.-
1,3-beta-glucan synthas	2.4.1.34
1,3-beta-glucan synthase component bgs	2.4.1.34
1,3-beta-glucan synthase component FKS	2.4.1.34
1,3-beta-glucan synthase component GSC	2.4.1.34
13 kDa FK506-binding protei	5.2.1.8
13 kDa FKB	5.2.1.8
1,3-propanediol dehydrogenas	1.1.1.202
1,3-propanediol oxidoreductas	1.1.1.202
14:0-ACP thioesteras	3.1.2.-
14:0-acyl-carrier protein thioesteras	3.1.2.-
140 kDa actin-binding protei	2.1.1.-
142 kDa diacylglycerol kinas	2.7.1.107
14.3 kDa perchloric acid soluble protei	3.1.-.-
14.5 kDa translational inhibitor protei	3.1.-.-
147 kDa protei	2.7.7.48
1,4-alpha-D-glucan:1,4-alpha-D-glucan 6-glucosyl-transferas	2.4.1.18
1,4-alpha-D-glucan:1,4-alpha-D-glucan 6-glucosyl-transferase	2.4.1.18
(1,4)-alpha-D-glucan 1-alpha-D-glucosylmutas	5.4.99.15
1,4-alpha-D-glucan glucanohydrolas	3.2.1.1
1,4-alpha-D-glucan glucanohydrolase 2	3.2.1.1
1,4-alpha-D-glucan glucanohydrolase	3.2.1.1
1,4-alpha-D-glucan glucohydrolas	3.2.1.3
1,4-alpha-D-glucan maltohydrolas	3.2.1.2
1,4-alpha-glucan-branching enzym	2.4.1.18
1,4-alpha-glucan-branching enzyme	2.4.1.18
1,4-alpha-glucan-branching enzyme 2, chloroplastic/amyloplasti	2.4.1.18
1,4-alpha-glucan-branching enzyme, chloroplastic/amyloplasti	2.4.1.18
1,4-beta-cellobiohydrolas	3.2.1.4
1,4-beta-cellobiohydrolas	3.2.1.91
1,4-beta-cellobiohydrolase	3.2.1.91
1,4-beta-cellobiohydrolase 6	3.2.1.91
1,4-beta-cellobiohydrolase I	3.2.1.91
1,4-beta-D-glucan cellobiohydrolase	3.2.1.91
1,4-beta-D-mannan mannanohydrolas	3.2.1.78
1,4-beta-D-mannan mannanohydrolase	3.2.1.78
1,4-beta-D-xylan xylanohydrolas	3.2.1.8
1,4-beta-D-xylan xylanohydrolase 2	3.2.1.8
1,4-beta-D-xylan xylanohydrolase	3.2.1.8
1,4-beta-D-xylan xylanohydrolase F	3.2.1.8
1,4-beta-D-xylan xylanohydrolase xynf11	3.2.1.8
1,4-beta-D-xylan xylohydrolas	3.2.1.21
1,4-beta-D-xylan xylohydrolas	3.2.1.37
1,4-beta-D-xylan xylohydrolas	3.2.1.55
1,4-beta-D-xylan xylohydrolase bxl	3.2.1.37
1,4-beta-D-xylan xylohydrolase xln	3.2.1.37
1,4-beta-N-acetylmuramidas	3.2.1.17
1,4-beta-N-acetylmuramidase	3.2.1.17
1,4-beta-N-acetylmuramidase	3.2.1.n3
1,4-beta-N-acetylmuramidase A/	3.2.1.17
1,4-beta-N-acetylmuramidase C-	3.2.1.17
1,4-beta-N-acetylmuramidase M	3.2.1.17
1,4-beta-N-acetylmuramoylhydrolas	3.2.1.17
1,4-dihydroxy-2-naphthoate octaprenyltransferas	2.5.1.74
1,4-dihydroxy-2-naphthoyl-CoA hydrolas	3.1.2.n1
14 kDa phosphohistidine phosphatas	3.1.3.-
14 kDa phospholipase A	3.1.1.4
14 kDa regulatory protei	1.8.3.2
14 nm filament-forming protei	2.3.3.1
1,4-TCDN chlorohydrolas	3.8.1.5
150 kDa protei	2.7.7.48
15,16-dihydrobiliverdin:ferredoxin oxidoreductas	1.3.7.2
152 kDa protei	2.7.7.48
153 kDa protei	3.6.-.-
156 kDa protei	2.7.7.48
159 kDa chloroplast outer envelope protei	3.6.5.-
1,5-anhydro-D-fructose reductas	1.1.1.263
1,5-anhydro-D-fructose reductas	1.1.1.292
1,5-anhydro-D-fructose reductase (1,5-anhydro-D-mannitol-forming	1.1.1.292
15-hydroxyprostaglandin dehydrogenase [NAD+	1.1.1.141
15-hydroxyprostaglandin dehydrogenase [NADP+	1.1.1.184
15 kDa adhesi	3.4.22.47
15 kDa FKB	5.2.1.8
15 kDa peptid	3.4.24.12
15 kDa subuni	3.5.1.5
15-lipoxygenase	1.13.11.33
15-LO	1.13.11.33
15-LOX-	1.13.11.33
15-oxoprostaglandin 13-reductas	1.3.1.-
15-oxoprostaglandin 13-reductas	1.3.1.48
15-PGD	1.1.1.141
1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomeras	5.3.1.16
1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase	5.3.1.16
1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase, chloroplasti	5.3.1.16
16:0-ACP thioesteras	3.1.2.-
16:0-acyl-carrier protein thioesteras	3.1.2.-
165 kDa protei	2.7.7.48
1,6-anhydro-N-acetylmuramyl-L-alanine amidase Amp	3.5.1.28
1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate dehydrogenas	1.3.1.25
16S pseudouridine 516 synthas	5.4.99.-
16S pseudouridylate 516 synthas	5.4.99.-
16S rRNA 2'-O-ribose C1402 methyltransferas	2.1.1.-
16S rRNA 7-methylguanosine methyltransferas	2.1.1.-
16S rRNA 7-methylguanosine methyltransferase	2.1.1.-
16S rRNA dimethyladenosine transferas	2.1.1.-
16S rRNA dimethylas	2.1.1.-
16S rRNA m2G1207 methyltransferas	2.1.1.52
16S rRNA m2G966 methyltransferas	2.1.1.52
16S rRNA m3U1498 methyltransferas	2.1.1.-
16S rRNA m3U1498 methyltransferase	2.1.1.-
16S rRNA m(4)C1402 methyltransferas	2.1.1.-
16S rRNA m(4)C1402 methyltransferase	2.1.1.-
16S rRNA m5C1407 methyltransferas	2.1.1.-
16S rRNA m5C967 methyltransferas	2.1.1.-
16S rRNA m7G methyltransferas	2.1.1.-
16S rRNA m7G methyltransferase	2.1.1.-
170 kDa melanoma membrane-bound gelatinas	3.4.21.-
176 kDa protei	2.7.7.48
17-alpha-HS	1.1.1.-
17-alpha-hydroxysteroid dehydrogenas	1.1.1.-
17-b	1.-.-.-
17-beta-HSD 1	1.1.-.-
17-beta-HSD	1.1.1.-
17-beta-HSD 1	1.1.1.-
17betaHSD1	1.1.1.-
17-beta-HSD 1	1.1.1.35
17-beta-HSD 1	1.1.1.62
17betaHSD1	1.1.1.62
17-beta-HSD	1.1.1.270
17-beta-HSD	1.1.1.35
17-beta-HSD	1.1.1.62
17-beta-HSD	1.1.1.64
17-beta-HSD 12-	1.1.1.62
17-beta-HSD X	1.1.1.-
17betaHSDX	1.1.1.-
17-beta-HSD X	1.1.1.62
17betaHSDX	1.1.1.62
17-beta-hydroxysteroid dehydrogenase 1	1.1.-.-
17-beta-hydroxysteroid dehydrogenase 1	1.1.1.-
17-beta-hydroxysteroid dehydrogenase 1	1.1.1.35
17-beta-hydroxysteroid dehydrogenase 1	1.1.1.62
17-beta-hydroxysteroid dehydrogenase	1.1.1.270
17-beta-hydroxysteroid dehydrogenase	1.1.1.35
17-beta-hydroxysteroid dehydrogenase	1.1.1.62
17-beta-hydroxysteroid dehydrogenase 12-	1.1.1.62
17-beta-hydroxysteroid dehydrogenase DHRS1	1.1.1.-
17-beta-hydroxysteroid dehydrogenase type	1.1.1.62
17-beta-hydroxysteroid dehydrogenase type	1.1.1.64
17-beta-hydroxysteroid dehydrogenase X	1.1.1.-
17-beta-hydroxysteroid dehydrogenase X	1.1.1.62
17-beta-hydroxysteroid-specific UDPG	2.4.1.17
17bHSD1	1.1.1.-
17bHSD1	1.1.1.62
17 kDa actomyosin componen	4.2.1.-
17 kDa inhibitor of protein kinase	3.-.-.-
18:0-ACP thioesteras	3.1.2.14
18:0-acyl-carrier protein thioesteras	3.1.2.14
182 kDa protei	2.7.7.48
183 kDa protei	2.7.7.48
186 kDa protei	2.7.7.48
1,8-cineole synthase, chloroplasti	4.2.3.-
18 kDa interstitial collagenas	3.4.24.7
18 kDa membrane-bound protei	3.6.3.14
18S rRNA dimethylas	2.1.1.-
193 kDa vault protei	2.4.2.30
194 kDa protei	2.7.7.48
19 kDa FK506-binding protei	5.2.1.8
19 kDa FKB	5.2.1.8
1-acyl DHAP reductas	1.1.1.101
1-acyl-G3P acyltransferas	2.3.1.n4
1-acylglycerol-3-phosphate O-acyltransferase	2.3.1.-
1-acylglycerol-3-phosphate O-acyltransferase	2.3.1.15
1-acylglycerol-3-phosphate O-acyltransferase	2.3.1.51
1-acylglycerol-3-phosphate O-acyltransferase 9-lik	2.3.1.15
1-acylglycerol-3-phosphate O-acyltransferase ABHD	2.3.1.51
1-acylglycerol-3-phosphate O-acyltransferase ICT	2.3.1.51
1-acylglycerophosphate O-acyltransferas	2.3.1.-
1-acylglycerophosphatidylinositol O-acyltransferas	2.3.1.-
1-acylglycerophosphocholine O-acyltransferas	2.3.1.-
1-acylglycerophosphocholine O-acyltransferas	2.3.1.23
1-acylglycerophosphocholine O-acyltransferase	2.3.1.23
1-acylglycerophosphoethanolamine O-acyltransferas	2.3.1.-
1-acylglycerophosphoserine O-acyltransferas	2.3.1.-
1-acyl-sn-glycerol-3-phosphate acyltransferas	2.3.1.51
1-acyl-sn-glycerol-3-phosphate acyltransferas	2.3.1.n4
1-acyl-sn-glycerol-3-phosphate acyltransferase 1, chloroplasti	2.3.1.51
1-acyl-sn-glycerol-3-phosphate acyltransferase	2.3.1.51
1-acyl-sn-glycerol-3-phosphate acyltransferase alph	2.3.1.51
1-acyl-sn-glycerol-3-phosphate acyltransferase bet	2.3.1.51
1-acyl-sn-glycerol-3-phosphate acyltransferase delt	2.3.1.51
1-acyl-sn-glycerol-3-phosphate acyltransferase epsilo	2.3.1.51
1-acyl-sn-glycerol-3-phosphate acyltransferase gamm	2.3.1.51
1-acyl-sn-glycerol-3-phosphate acyltransferase PLS	2.3.1.51
1-AGPA	2.3.1.51
1-AGPA	2.3.1.n4
1-AGP acyltransferas	2.3.1.51
1-AGP acyltransferas	2.3.1.n4
1-AGP acyltransferase	2.3.1.-
1-AGP acyltransferase	2.3.1.15
1-AGP acyltransferase	2.3.1.51
1-AGP acyltransferase 9-lik	2.3.1.15
1-AGPAT	2.3.1.-
1-AGPAT	2.3.1.15
1-AGPAT	2.3.1.51
1-AGPAT 9-lik	2.3.1.15
1-alkyl-2-acetylglycerophosphocholine esteras	3.1.1.47
1-alkylglycerophosphocholine O-acetyltransferas	2.3.1.-
1-aminocyclopropane-1-carboxylate deaminas	3.5.99.7
1-aminocyclopropane-1-carboxylate oxidas	1.14.17.4
1-aminocyclopropane-1-carboxylate oxidase	1.14.17.4
1-aminocyclopropane-1-carboxylate synthas	4.4.1.14
1-aminocyclopropane-1-carboxylate synthase 1	4.4.1.14
1-aminocyclopropane-1-carboxylate synthase	4.4.1.14
1-aminocyclopropane-1-carboxylate synthase CMA10	4.4.1.14
1-aminocyclopropane-1-carboxylate synthase CMW3	4.4.1.14
1-carboxy-3-chloro-3,4-dihydroxycyclo hexa-1,5-diene dehydrogenas	1.-.-.-
1-Cys peroxiredoxi	1.11.1.15
1-Cys peroxiredoxin	1.11.1.15
1-Cys peroxiredoxin PER	1.11.1.15
1-Cys PR	1.11.1.15
1-Cys Prx	1.11.1.15
1-CysPx	1.11.1.15
1-deoxy-D-xylulose 5-phosphate reductoisomeras	1.1.1.267
1-deoxy-D-xylulose 5-phosphate reductoisomerase	1.1.1.267
1-deoxy-D-xylulose 5-phosphate reductoisomerase, chloroplasti	1.1.1.267
1-deoxy-D-xylulose-5-phosphate synthas	2.2.1.7
1-deoxy-D-xylulose-5-phosphate synthase	2.2.1.7
1-deoxyxylulose-5-phosphate reductoisomeras	1.1.1.267
1-deoxyxylulose-5-phosphate reductoisomerase	1.1.1.267
1-deoxyxylulose-5-phosphate synthas	2.2.1.7
1-deoxyxylulose-5-phosphate synthase	2.2.1.7
1-FF	2.4.1.243
1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthas	1.17.7.1
1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase	1.17.7.1
1-O-acylceramide synthas	2.3.1.-
1-phosphatidylinositol-3-phosphate 5-kinas	2.7.1.150
1-phosphatidylinositol-3-phosphate 5-kinase fab	2.7.1.150
1-phosphatidylinositol-3-phosphate 5-kinase FAB	2.7.1.150
1-phosphatidylinositol-4,5-bisphosphate phosphodiesteras	3.1.4.11
1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase	3.1.4.11
1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase beta-	3.1.4.11
1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase classes I and I	3.1.4.11
